지역명,의료 평균접근성,의료 등급
강원특별자치도 강릉시,0.001653953,하
강원특별자치도 동해시,0.002303115,중
강원특별자치도 삼척시,0.000880789,하
강원특별자치도 속초시,0.002199783,중
강원특별자치도 양구군,0.002282617,중
강원특별자치도 양양군,0.000736861,하
강원특별자치도 영월군,0.001845539,중
강원특별자치도 원주시,0.002248512,중
강원특별자치도 인제군,0.001242912,하
강원특별자치도 정선군,0.001416868,하
강원특별자치도 철원군,0.001490812,하
강원특별자치도 춘천시,0.002267779,중
강원특별자치도 태백시,0.002229203,중
강원특별자치도 평창군,0.001236151,하
강원특별자치도 홍천군,0.002063913,중
강원특별자치도 화천군,0.002200388,중
강원특별자치도 횡성군,0.000857711,하
경기도 가평군,0.001797738,중
경기도 고양시,0.003705919,상
경기도 과천시,0.005839308,상
경기도 광명시,0.003880402,상
경기도 광주시,0.00179689,중
경기도 구리시,0.005039004,상
경기도 군포시,0.004086107,상
경기도 김포시,0.002352142,중
경기도 남양주시,0.002191053,중
경기도 동두천시,0.002607856,중
경기도 부천시,0.004306837,상
경기도 성남시,0.005333952,상
경기도 수원시,0.004453984,상
경기도 시흥시,0.003481657,상
경기도 안산시,0.002769356,상
경기도 안성시,0.002011561,중
경기도 안양시,0.003452697,상
경기도 양주시,0.002285739,중
경기도 양평군,0.001343163,하
경기도 여주시,0.002029471,중
경기도 연천군,0.001270597,하
경기도 오산시,0.00274787,상
경기도 용인시,0.002297112,중
경기도 의왕시,0.003878418,상
경기도 의정부시,0.003403666,상
경기도 이천시,0.002365864,중
경기도 파주시,0.001564768,하
경기도 평택시,0.00241212,중
경기도 포천시,0.002153142,중
경기도 하남시,0.003055814,상
경기도 화성시,0.002044895,중
경상남도 거제시,0.00209701,중
경상남도 거창군,0.001510352,하
경상남도 고성군,0.001707494,하
경상남도 김해시,0.003108114,상
경상남도 남해군,0.002155142,중
경상남도 밀양시,0.0016376,하
경상남도 사천시,0.002103448,중
경상남도 산청군,0.001686899,하
경상남도 양산시,0.002593241,중
경상남도 의령군,0.001271588,하
경상남도 진주시,0.002618133,중
경상남도 창녕군,0.002253707,중
경상남도 창원시,0.002847222,상
경상남도 통영시,0.002788114,상
경상남도 하동군,0.001099795,하
경상남도 함안군,0.001553724,하
경상남도 함양군,0.001697874,하
경상남도 합천군,0.001752368,하
경상북도 경산시,0.001399438,하
경상북도 경주시,0.001575055,하
경상북도 고령군,0.002053916,중
경상북도 구미시,0.001538845,하
경상북도 김천시,0.001607357,하
경상북도 문경시,0.001305594,하
경상북도 봉화군,0.001224418,하
경상북도 상주시,0.001584686,하
경상북도 성주군,0.001315966,하
경상북도 안동시,0.00165589,하
경상북도 영덕군,0.001922645,중
경상북도 영양군,0.001318012,하
경상북도 영주시,0.001698282,하
경상북도 영천시,0.001279926,하
경상북도 예천군,0.001506059,하
경상북도 울릉군,0.005593546,상
경상북도 울진군,0.001478559,하
경상북도 의성군,0.001904739,중
경상북도 청도군,0.001596872,하
경상북도 청송군,0.001368426,하
경상북도 칠곡군,0.001834618,중
경상북도 포항시,0.0016089,하
세종특별자치시,0.002741627,상
전라남도 강진군,0.003816123,상
전라남도 고흥군,0.002764544,상
전라남도 곡성군,0.002643901,중
전라남도 광양시,0.002418303,중
전라남도 구례군,0.00235946,중
전라남도 나주시,0.0025545,중
전라남도 담양군,0.002224963,중
전라남도 목포시,0.004874268,상
전라남도 무안군,0.002743952,상
전라남도 보성군,0.001973343,중
전라남도 순천시,0.002327635,중
전라남도 신안군,0.003552385,상
전라남도 여수시,0.003333822,상
전라남도 영광군,0.003165372,상
전라남도 영암군,0.002333176,중
전라남도 완도군,0.002748535,상
전라남도 장성군,0.002266242,중
전라남도 장흥군,0.002681607,중
전라남도 진도군,0.002600645,중
전라남도 함평군,0.002326681,중
전라남도 해남군,0.002313972,중
전라남도 화순군,0.002993864,상
전라북도 고창군,0.002528042,중
전라북도 군산시,0.002909912,상
전라북도 김제시,0.00255053,중
전라북도 남원시,0.002725582,상
전라북도 무주군,0.001604525,하
전라북도 부안군,0.0019468,중
전라북도 순창군,0.001736184,하
전라북도 완주군,0.001374177,하
전라북도 익산시,0.0030528,상
전라북도 임실군,0.001709065,하
전라북도 장수군,0.002036157,중
전라북도 전주시,0.005402947,상
전라북도 정읍시,0.002592535,중
전라북도 진안군,0.002119053,중
제주특별자치도 서귀포시,0.001608194,하
제주특별자치도 제주시,0.002047838,중
충청남도 계룡시,0.001260155,하
충청남도 공주시,0.001709165,하
충청남도 금산군,0.001939977,중
충청남도 논산시,0.002449372,중
충청남도 당진시,0.001805467,중
충청남도 보령시,0.001835598,중
충청남도 부여군,0.001542312,하
충청남도 서산시,0.001797099,중
충청남도 서천군,0.002117652,중
충청남도 아산시,0.002018069,중
충청남도 예산군,0.001995122,중
충청남도 천안시,0.002209913,중
충청남도 청양군,0.002051893,중
충청남도 태안군,0.001067224,하
충청남도 홍성군,0.002159753,중
충청북도 괴산군,0.001765896,중
충청북도 단양군,0.00136273,하
충청북도 보은군,0.001418536,하
충청북도 영동군,0.001981969,중
충청북도 옥천군,0.000998823,하
충청북도 음성군,0.001814901,중
충청북도 제천시,0.001700654,하
충청북도 증평군,0.00111586,하
충청북도 진천군,0.001982916,중
충청북도 청주시,0.002194354,중
충청북도 충주시,0.001959972,중
